label,target,tau,benchmark,DM_stat,p_value,ernn_better
exclude_covid,eua_return,0.05,L-ER,1.5771209213410138,0.11476770413443704,False
exclude_covid,eua_return,0.05,QRNN,6.921729652048988,4.461542246758654e-12,True
exclude_covid,eua_return,0.05,QRF,2.2868633444776396,0.02220380074335626,True
exclude_covid,eua_return,0.05,Q-GBM,1.9440908317489982,0.05188449867069744,True
exclude_covid,eua_return,0.1,L-ER,1.3143396206492863,0.18873193963484436,False
exclude_covid,eua_return,0.1,QRNN,2.133242980879748,0.0329047989576432,True
exclude_covid,eua_return,0.1,QRF,2.326717951178794,0.019980281792634225,True
exclude_covid,eua_return,0.1,Q-GBM,1.234389472070894,0.21705781014483305,False
exclude_covid,eua_return,0.5,L-ER,1.2029643522395785,0.22899011563018812,False
exclude_covid,eua_return,0.5,QRNN,0.16917433437254142,0.8656595169985015,False
exclude_covid,eua_return,0.5,QRF,-1.0444481544615152,0.29627809427121643,False
exclude_covid,eua_return,0.5,Q-GBM,-0.4531325207137932,0.650453319144634,False
exclude_covid,eua_return,0.9,L-ER,-0.2004804462402529,0.8411048492042394,False
exclude_covid,eua_return,0.9,QRNN,3.5208670302102103,0.00043013825429216723,True
exclude_covid,eua_return,0.9,QRF,2.8912562809944666,0.003837050768038308,True
exclude_covid,eua_return,0.9,Q-GBM,3.094084185990541,0.0019742145802952304,True
exclude_covid,eua_return,0.95,L-ER,-0.8012719543029634,0.4229742233501732,False
exclude_covid,eua_return,0.95,QRNN,4.243255665943613,2.2030020948804463e-05,True
exclude_covid,eua_return,0.95,QRF,5.0392694604544745,4.673121583032014e-07,True
exclude_covid,eua_return,0.95,Q-GBM,2.724845011937244,0.0064331677966666945,True
exclude_covid,msci_energy_return,0.05,L-ER,-3.077589722145251,0.002086820071357076,False
exclude_covid,msci_energy_return,0.05,QRNN,1.975014506726677,0.04826650176883551,True
exclude_covid,msci_energy_return,0.05,QRF,-0.5698607622977387,0.5687721396202956,False
exclude_covid,msci_energy_return,0.05,Q-GBM,0.07649346668766953,0.9390265115760601,False
exclude_covid,msci_energy_return,0.1,L-ER,0.8002595563729257,0.4235604302030995,False
exclude_covid,msci_energy_return,0.1,QRNN,3.60527086240101,0.000311827522221364,True
exclude_covid,msci_energy_return,0.1,QRF,-0.31945363459815324,0.7493825450731619,False
exclude_covid,msci_energy_return,0.1,Q-GBM,1.442658227346911,0.14911677201684026,False
exclude_covid,msci_energy_return,0.5,L-ER,-0.6313004907566596,0.5278440661117578,False
exclude_covid,msci_energy_return,0.5,QRNN,0.539410132908248,0.5896038907856851,False
exclude_covid,msci_energy_return,0.5,QRF,-1.1044545059895088,0.2693960279105949,False
exclude_covid,msci_energy_return,0.5,Q-GBM,0.8834494125824254,0.37699350331564885,False
exclude_covid,msci_energy_return,0.9,L-ER,-3.5433942808687875,0.0003950116500683887,False
exclude_covid,msci_energy_return,0.9,QRNN,0.12841385521271534,0.8978214670605063,False
exclude_covid,msci_energy_return,0.9,QRF,0.014015328232377739,0.9888177520770889,False
exclude_covid,msci_energy_return,0.9,Q-GBM,-1.217407358485802,0.22344926471747106,False
exclude_covid,msci_energy_return,0.95,L-ER,1.1625357102674232,0.2450179279574154,False
exclude_covid,msci_energy_return,0.95,QRNN,-0.006829525502224092,0.9945508694043039,False
exclude_covid,msci_energy_return,0.95,QRF,-1.2109603473051969,0.22591060220153114,False
exclude_covid,msci_energy_return,0.95,Q-GBM,-1.2727993220800315,0.2030892618170519,False
exclude_covid,msci_materials_return,0.05,L-ER,-1.4546330759963344,0.14577086904661707,False
exclude_covid,msci_materials_return,0.05,QRNN,-1.1376700073005652,0.2552583018454211,False
exclude_covid,msci_materials_return,0.05,QRF,-1.2688074294573801,0.2045097546909389,False
exclude_covid,msci_materials_return,0.05,Q-GBM,-1.3338062732212568,0.18226735454721066,False
exclude_covid,msci_materials_return,0.1,L-ER,-1.7560351191298673,0.07908241218259748,False
exclude_covid,msci_materials_return,0.1,QRNN,-0.146597514278783,0.8834497158037078,False
exclude_covid,msci_materials_return,0.1,QRF,-0.4311558049666439,0.6663550863001584,False
exclude_covid,msci_materials_return,0.1,Q-GBM,-0.18295700195981635,0.8548317565438435,False
exclude_covid,msci_materials_return,0.5,L-ER,0.8425520432325652,0.3994790216465893,False
exclude_covid,msci_materials_return,0.5,QRNN,0.8064283132553101,0.41999592701443933,False
exclude_covid,msci_materials_return,0.5,QRF,0.17624508477851825,0.8601014025754878,False
exclude_covid,msci_materials_return,0.5,Q-GBM,0.8993022804526474,0.3684916730282968,False
exclude_covid,msci_materials_return,0.9,L-ER,-1.2466426706953961,0.2125285483278896,False
exclude_covid,msci_materials_return,0.9,QRNN,-1.475041256589241,0.1402014519500585,False
exclude_covid,msci_materials_return,0.9,QRF,-1.4057844044205396,0.15978815443983074,False
exclude_covid,msci_materials_return,0.9,Q-GBM,-1.5178516377921496,0.12905180409518646,False
exclude_covid,msci_materials_return,0.95,L-ER,0.5178786087700972,0.604542967731454,False
exclude_covid,msci_materials_return,0.95,QRNN,0.16467990275929775,0.8691959362662787,False
exclude_covid,msci_materials_return,0.95,QRF,-0.9071429711293278,0.36433119679584136,False
exclude_covid,msci_materials_return,0.95,Q-GBM,-0.6954243361227065,0.486789413724507,False
