target,tau,benchmark,DM_stat,p_value,ernn_better
eua_return,0.05,L-ER,0.296493015196018,0.7668536003745652,False
eua_return,0.05,QRNN,1.0929083003336904,0.2744340635561826,False
eua_return,0.05,QRF,-1.2526962590521291,0.21031626794214153,False
eua_return,0.05,Q-GBM,-2.6874503657666273,0.007199980196030076,False
eua_return,0.1,L-ER,-1.0672051466209558,0.285879209036799,False
eua_return,0.1,QRNN,-2.0777303375941973,0.03773420318038956,False
eua_return,0.1,QRF,-1.6898891681613333,0.09104916026616183,False
eua_return,0.1,Q-GBM,-1.989974627430806,0.04659373055750904,False
eua_return,0.5,L-ER,0.5531353698827621,0.5801707185898051,False
eua_return,0.5,QRNN,0.7530053344232814,0.45144670847294144,False
eua_return,0.5,QRF,-0.6836249037780786,0.4942120547523201,False
eua_return,0.5,Q-GBM,0.07252779919580496,0.9421818831604911,False
eua_return,0.9,L-ER,-2.5244433756166025,0.011588167189363618,False
eua_return,0.9,QRNN,-0.5351097250520918,0.5925739855278978,False
eua_return,0.9,QRF,-0.6328323943613426,0.5268430999024301,False
eua_return,0.9,Q-GBM,-1.2425008596773783,0.2140518235019253,False
eua_return,0.95,L-ER,1.0839676960384943,0.2783791221465557,False
eua_return,0.95,QRNN,-0.6365868603121739,0.5243939862300289,False
eua_return,0.95,QRF,-0.33782696048068284,0.735493591590312,False
eua_return,0.95,Q-GBM,-0.7470713875521219,0.4550204704020091,False
msci_energy_return,0.05,L-ER,1.13059913165637,0.2582238531676646,False
msci_energy_return,0.05,QRNN,1.3677371294524427,0.17139437339445607,False
msci_energy_return,0.05,QRF,0.25006772517366144,0.8025349747468531,False
msci_energy_return,0.05,Q-GBM,-0.2786720372813396,0.7804965237371011,False
msci_energy_return,0.1,L-ER,1.1136419060716496,0.2654328409737614,False
msci_energy_return,0.1,QRNN,1.0774333356060435,0.2812867181319403,False
msci_energy_return,0.1,QRF,0.3781260274670347,0.7053369741006046,False
msci_energy_return,0.1,Q-GBM,-0.5233083403650194,0.600759697895493,False
msci_energy_return,0.5,L-ER,-1.321520455953844,0.18632788642159848,False
msci_energy_return,0.5,QRNN,-0.6722847850209434,0.5014024140116011,False
msci_energy_return,0.5,QRF,-2.407584707229311,0.016058436412896615,False
msci_energy_return,0.5,Q-GBM,-1.558777297900708,0.11904909920473195,False
msci_energy_return,0.9,L-ER,1.466184749187343,0.14259796224074717,False
msci_energy_return,0.9,QRNN,3.284981559213915,0.001019890466036788,True
msci_energy_return,0.9,QRF,4.085493386028555,4.3983253516399756e-05,True
msci_energy_return,0.9,Q-GBM,0.3058636058446221,0.7597084971127019,False
msci_energy_return,0.95,L-ER,0.6416383111031962,0.5211080518258662,False
msci_energy_return,0.95,QRNN,2.749891615993154,0.0059614979573783256,True
msci_energy_return,0.95,QRF,3.680546669353579,0.0002327344562667033,True
msci_energy_return,0.95,Q-GBM,3.245743228441028,0.0011714444644648214,True
msci_materials_return,0.05,L-ER,-0.6004528410948388,0.5482044809183786,False
msci_materials_return,0.05,QRNN,0.012600020851111655,0.9899469039036108,False
msci_materials_return,0.05,QRF,-0.561023682709885,0.5747813925663898,False
msci_materials_return,0.05,Q-GBM,-0.3168940754489337,0.7513239776404912,False
msci_materials_return,0.1,L-ER,0.4348100252492711,0.6637003274171827,False
msci_materials_return,0.1,QRNN,0.9972904091149619,0.31862356772063727,False
msci_materials_return,0.1,QRF,0.1119898208072665,0.9108314776161479,False
msci_materials_return,0.1,Q-GBM,-0.6088438359075247,0.542627954570329,False
msci_materials_return,0.5,L-ER,1.0984914448752765,0.2719899513331834,False
msci_materials_return,0.5,QRNN,1.1821109498227695,0.2371616801956522,False
msci_materials_return,0.5,QRF,-0.8802984603202244,0.3786976464912377,False
msci_materials_return,0.5,Q-GBM,0.006362640845262514,0.9949233813566145,False
msci_materials_return,0.9,L-ER,-1.156564478644327,0.24745034190083937,False
msci_materials_return,0.9,QRNN,0.6003645181399971,0.5482633292447212,False
msci_materials_return,0.9,QRF,-1.0840721386864294,0.2783328149605677,False
msci_materials_return,0.9,Q-GBM,-1.3485753849562494,0.1774733914319655,False
msci_materials_return,0.95,L-ER,1.9817802347696225,0.04750384256326212,True
msci_materials_return,0.95,QRNN,1.0076577300906813,0.31361880409217546,False
msci_materials_return,0.95,QRF,0.30246101125087343,0.7623006509071761,False
msci_materials_return,0.95,Q-GBM,0.2640570768674821,0.7917359380017839,False
